,Unnamed: 0,IDPERSON,ID11,ID13
49241,167166,281507090101,1,4
49242,195041,321110140103,2,3
49243,69792,96601081101,2,3
49244,143748,242003120103,1,4
49245,96627,191110100102,1,2
49246,157704,272607190103,1,2
49247,43169,81401100118,1,4
49248,62354,94502121203,1,1
49249,152461,271806180103,1,2
49250,150571,271307170102,1,5
49251,89776,190107090103,1,2
49252,132646,233202120101,1,2
49253,74071,101201021105,1,3
49254,53985,90508160101,1,3
49255,96574,191109010101,1,3
49256,152194,271803013103,1,2
49257,192272,320704101106,3,2
49258,159531,273007120101,1,5
49259,171948,290208090102,1,3
49260,28163,61207100101,1,3
49261,70074,96602180103,1,2
49262,143561,241915050105,1,1
49263,90684,190402090104,1,4
49264,20428,51101020204,1,1
49265,157819,272702011110,2,2
49266,121480,230402140105,1,4
49267,128146,232106140201,1,4
49268,96887,191115060202,1,4
49269,11668,30112060301,3,4
49270,142165,241602100101,1,1
49271,176611,291204140110,1,3
49272,153702,272105050102,1,2
49273,102219,201308040103,1,3
49274,63633,94704170103,1,2
49275,88222,181703160902,1,3
49276,111444,211901051101,1,3
49277,186206,292504190105,1,2
49278,55507,91405060103,1,3
49279,114904,220204070103,1,5
49280,99298,191713070104,1,2
49281,166183,281007050303,1,3
49282,109932,211508040104,1,2
49283,169527,282103060105,2,3
49284,96881,191115050103,1,4
49285,166549,281308050103,1,3
49286,12690,30305030103,1,4
49287,195285,321115121204,3,3
49288,95978,191011120103,1,4
49289,124307,231006020105,1,5
49290,122894,230802191106,1,1
49291,179277,291602040103,1,4
49292,17242,31110020104,1,2
49293,105451,210507160105,3,5
49294,142189,241602150102,1,3
49295,2733,11204090105,2,2
49296,133385,233507190101,1,3
49297,70948,96705040104,1,3
49298,125457,231209161202,1,5
49299,49616,83202091104,1,5
49300,165155,280508020901,1,4
49301,15598,30913041203,4,2
49302,62097,94402071103,1,4
49303,138133,240717130106,1,3
49304,92853,190803071105,2,2
49305,9496,21003091102,1,2
49306,64233,94903310101,1,2
49307,46274,82011110102,1,3
49308,101421,201211080102,1,2
49309,86985,180613030102,1,2
49310,140722,241204151106,1,5
49311,11536,30110090104,1,2
49312,127165,232002012102,1,3
49313,127947,232103091106,1,3
49314,113085,212402171108,1,4
49315,72576,100206150104,1,1
49316,19504,40406070104,1,2
49317,34797,71027130101,1,4
49318,4178,20101101101,1,5
49319,157740,272701051103,1,2
49320,405,10203120107,2,3
49321,102210,201308010104,1,1
49322,70848,96704050104,1,4
49323,50580,90103042101,2,2
49324,106067,210602071107,1,5
49325,35420,71037010903,1,4
49326,45022,81513080101,1,1
49327,85713,180302050904,2,2
49328,16694,31104161104,1,3
49329,8566,20802053105,1,1
49330,17856,31113081105,4,2
49331,156226,272504061108,1,3
49332,135374,234401062103,1,3
49333,130069,232502101107,1,5
49334,134615,233803040108,1,1
49335,53576,90501011105,2,3
49336,174378,290704070303,1,5
49337,17910,31113141105,4,2
49338,184428,292022020103,1,4
49339,33188,71003100105,2,3
49340,79108,103201131103,1,4
49341,140229,241201061101,1,2
49342,181483,291814120103,1,4
49343,159169,273004201108,1,4
49344,34696,71026050106,1,4
49345,134893,234102061201,1,3
49346,185730,292405150105,1,4
49347,38288,80601051104,2,3
49348,24895,60506231301,1,4
49349,153981,272110070101,1,2
49350,77048,102601090202,1,3
49351,130384,232506190103,1,3
49352,63136,94701010107,1,1
49353,73161,100504061204,2,2
49354,98067,191601140104,2,6
49355,174727,290801150101,1,3
49356,189096,300102030105,1,2
49357,154178,272114020101,1,2
49358,47844,82502131105,1,2
49359,160187,273103081302,1,3
49360,162539,280209030105,1,2
49361,80488,110401040103,1,3
49362,147702,270601171107,1,5
49363,11334,30107110105,1,4
49364,7364,20507140104,1,4
49365,79333,103203131107,2,2
49366,73380,100505111203,1,3
49367,81837,130703090104,3,5
49368,65188,95004060105,2,3
49369,68413,96303150101,1,1
